E	{(b),(g),(f)}	[jjj#3,bbb#0,ddd#9,ggg#8,hhh#2]
A	{(a),(f),(c)}	[ccc#2,ddd#0,aaa#3,hhh#9]
B	{(f),(e),(a),(c)}	[ddd#2,ggg#5,ccc#6,jjj#1]
A	{(a),(b)}	[hhh#9,iii#5,eee#7,bbb#1]
C	{(f),(g),(d),(a)}	[iii#6,ddd#5,eee#4,jjj#3]
A	{(c),(d)}	[bbb#2,hhh#0,ccc#4,fff#1,aaa#7]
A	{(g),(d),(a)}	[aaa#5,fff#8,ddd#2,iii#0,jjj#7,ccc#1]
B	{(b),(a)}	[fff#3,hhh#1,ddd#2]
E	{(d),(e),(a),(f)}	[eee#4,ccc#5,iii#9,fff#7,ggg#6,bbb#0]
B	{(d),(b),(g),(f)}	[bbb#7,jjj#9,fff#5,iii#4,ggg#2,eee#3]
C	{(d),(c),(f),(b)}	[hhh#6,eee#4,iii#0,fff#2,jjj#1]
C	{(d),(e),(a),(c)}	[bbb#7,iii#6,ggg#9]
D	{(g),(e),(f),(b)}	[bbb#9,aaa#3,ccc#6,fff#4,eee#2]
E	{(c),(f)}	[aaa#8,ddd#5,jjj#1]
B	{(d),(b)}	[ccc#0,jjj#6,fff#7,ddd#3,aaa#2]
D	{(f),(e)}	[ccc#0,eee#6,bbb#9,ddd#3]
E	{(e),(b),(f)}	[bbb#6,iii#3,hhh#5,fff#4,ggg#9,ddd#2]
D	{(g),(a)}	[hhh#4,jjj#5,ccc#9]
E	{(e),(c),(f),(a)}	[ccc#1,iii#6,fff#9]
E	{(e),(a)}	[bbb#9,aaa#3,fff#1]
E	{(e),(f)}	[ddd#9,iii#2,aaa#4]
E	{(c),(b),(g)}	[ccc#5,fff#8,iii#7]
D	{(c),(f),(a)}	[eee#3,jjj#2,ddd#7]
A	{(f),(a),(d)}	[jjj#1,ggg#0,ccc#7,ddd#9,bbb#3]
E	{(c),(d)}	[jjj#6,ccc#0,aaa#1,hhh#9,iii#7,ggg#8]
E	{(e),(d),(c)}	[fff#3,eee#6,iii#4,bbb#7,ddd#0,ccc#1]
A	{(a),(e),(f)}	[fff#0,ddd#5,ccc#4]
E	{(c),(a),(g)}	[ggg#6,hhh#3,ddd#9,ccc#0,jjj#7]
A	{(f),(e)}	[hhh#6,jjj#0,eee#5,iii#7,ccc#3]
C	{(f),(c),(a),(g)}	[eee#1,fff#4,aaa#2,ccc#7,ggg#0,ddd#6]
A	{(b),(f)}	[ccc#6,aaa#9,eee#5,ddd#0,bbb#3]
D	{(b),(f)}	[bbb#7,hhh#1,aaa#6,iii#4,fff#9,ddd#5]
E	{(a),(c)}	[fff#3,ccc#1,ggg#2,eee#5]
B	{(b),(f),(c)}	[iii#7,ggg#3,ddd#0,jjj#8,hhh#5,ccc#1]
B	{(f),(a),(e)}	[hhh#6,ccc#3,jjj#0,bbb#8,ddd#7]
D	{(a),(f)}	[aaa#0,fff#5,ddd#3]
B	{(c),(a)}	[ddd#5,jjj#2,iii#7,ccc#0,bbb#4]
C	{(c),(a),(e),(f)}	[eee#0,fff#2,hhh#6]
E	{(e),(d)}	[fff#9,iii#2,eee#0]
E	{(f),(a),(d)}	[hhh#8,ggg#3,jjj#5]